name,class,connector,SHAFT_DIAMETER,CORPUS,PITCH,Performance_File,MODEL,Direction,WEIGHT,HUB_THICKNESS,DIAMETER,Prop_type
apc_propellers_7x7E,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,177.8,PER3_7x7E.dat,apc_propellers_7x7E,"('1', '-1', '1', '1')",0.007983183999999999,8.636000000000001,177.8,"('1', '-1', '1', '1')"
apc_propellers_7_8x6,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,152.4,PER3_78x6.dat,apc_propellers_7_8x6,"('1', '-1', '1', '1')",0.017871446,10.16,198.12,"('1', '-1', '1', '1')"
apc_propellers_8x6E,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,152.4,PER3_8x6E.dat,apc_propellers_8x6E,"('1', '-1', '1', '1')",0.014015931,9.398,203.2,"('1', '-1', '1', '1')"
apc_propellers_8x7,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,177.8,PER3_8x7.dat,apc_propellers_8x7,"('1', '-1', '1', '1')",0.019005420999999998,11.176,203.2,"('1', '-1', '1', '1')"
apc_propellers_8_75x5_0,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,127.0,PER3_875x50.dat,apc_propellers_8_75x5_0,"('1', '-1', '1', '1')",0.028077221000000003,12.7,222.25,"('1', '-1', '1', '1')"
apc_propellers_8x4_7SF,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,119.38,PER3_8x47SF.dat,apc_propellers_8x4_7SF,"('1', '-1', '1', '1')",0.0070760039999999995,7.619999999999999,203.2,"('1', '-1', '1', '1')"
apc_propellers_8_75x9_0W,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,228.6,PER3_875x90W.dat,apc_propellers_8_75x9_0W,"('1', '-1', '1', '1')",0.026081425,14.478,222.25,"('1', '-1', '1', '1')"
apc_propellers_9x6_5,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,165.1,PER3_9x65.dat,apc_propellers_9x6_5,"('1', '-1', '1', '1')",0.030073017,12.446,228.6,"('1', '-1', '1', '1')"
apc_propellers_8_8x8_5,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,215.9,PER3_88x85.dat,apc_propellers_8_8x8_5,"('1', '-1', '1', '1')",0.02494745,14.732,223.52,"('1', '-1', '1', '1')"
apc_propellers_8_8x9_75,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,247.65,PER3_88x975.dat,apc_propellers_8_8x9_75,"('1', '-1', '1', '1')",0.026081425,15.494,223.52,"('1', '-1', '1', '1')"
apc_propellers_9x3_7SF,Propeller,['MOTOR_CONNECTOR_CS_IN'],5.499989,UAV,93.98,PER3_9x37SF.dat,apc_propellers_9x3_7SF,"('1', '-1', '1', '1')",0.004989489999999999,4.064,228.6,"('1', '-1', '1', '1')"
apc_propellers_8_8x9_25,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,234.95,PER3_88x925.dat,apc_propellers_8_8x9_25,"('1', '-1', '1', '1')",0.026943245999999997,14.478,223.52,"('1', '-1', '1', '1')"
apc_propellers_9x6SF,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,152.4,PER3_9x6SF.dat,apc_propellers_9x6SF,"('1', '-1', '1', '1')",0.0090718,7.619999999999999,228.6,"('1', '-1', '1', '1')"
apc_propellers_9_5x7_5N,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,190.5,PER3_95x75N.dat,apc_propellers_9_5x7_5N,"('1', '-1', '1', '1')",0.028939042,14.732,241.3,"('1', '-1', '1', '1')"
apc_propellers_9_5x7N,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,177.8,PER3_95x7N.dat,apc_propellers_9_5x7N,"('1', '-1', '1', '1')",0.028939042,14.732,241.3,"('1', '-1', '1', '1')"
swri_27x11_3_1800_51_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,279.4,27x11_3_1800_51_70.dat,swri_27x11_3_1800_51_70,"('1', '-1', '1', '1')",0.235,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x11_6_1800_51_80,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,279.4,27x11_6_1800_51_80.dat,swri_27x11_6_1800_51_80,"('1', '-1', '1', '1')",0.389,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x16_4_1200_51_30,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,406.4,27x16_4_1200_51_30.dat,swri_27x16_4_1200_51_30,"('1', '-1', '1', '1')",0.27,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x13_5_1200_41_30,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,27x13_5_1200_41_30.dat,swri_27x13_5_1200_41_30,"('1', '-1', '1', '1')",0.316,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x7_6_2800_51_140,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,177.8,27x7_6_2800_51_140.dat,swri_27x7_6_2800_51_140,"('1', '-1', '1', '1')",0.352,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x14_4_1400_51_40,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,355.6,27x14_4_1400_51_40.dat,swri_27x14_4_1400_51_40,"('1', '-1', '1', '1')",0.264,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x16_6_1200_51_30,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,406.4,27x16_6_1200_51_30.dat,swri_27x16_6_1200_51_30,"('1', '-1', '1', '1')",0.363,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x6_5_3400_51_170,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,152.4,27x6_5_3400_51_170.dat,swri_27x6_5_3400_51_170,"('1', '-1', '1', '1')",0.298,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x16_2_1200_51_30,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,406.4,27x16_2_1200_51_30.dat,swri_27x16_2_1200_51_30,"('1', '-1', '1', '1')",0.177,51.435,685.8,"('1', '-1', '1', '1')"
swri_34x11_6_1800_51_180,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,279.4,34x11_6_1800_51_180.dat,swri_34x11_6_1800_51_180,"('1', '-1', '1', '1')",0.592,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_27x12_5_1600_51_60,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,304.8,27x12_5_1600_51_60.dat,swri_27x12_5_1600_51_60,"('1', '-1', '1', '1')",0.33,51.435,685.8,"('1', '-1', '1', '1')"
swri_27x6_4_3400_51_170,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,152.4,27x6_4_3400_51_170.dat,swri_27x6_4_3400_51_170,"('1', '-1', '1', '1')",0.251,51.435,685.8,"('1', '-1', '1', '1')"
swri_34x13_3_1200_41_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,34x13_3_1200_41_70.dat,swri_34x13_3_1200_41_70,"('1', '-1', '1', '1')",0.33,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x13_4_1200_41_80,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,34x13_4_1200_41_80.dat,swri_34x13_4_1200_41_80,"('1', '-1', '1', '1')",0.423,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x6_4_3400_51_330,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,152.4,34x6_4_3400_51_330.dat,swri_34x6_4_3400_51_330,"('1', '-1', '1', '1')",0.386,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x7_2_2800_51_250,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,177.8,34x7_2_2800_51_250.dat,swri_34x7_2_2800_51_250,"('1', '-1', '1', '1')",0.231,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x7_3_2800_51_270,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,177.8,34x7_3_2800_51_270.dat,swri_34x7_3_2800_51_270,"('1', '-1', '1', '1')",0.315,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x17_2_1000_46_60,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,431.8,34x17_2_1000_46_60.dat,swri_34x17_2_1000_46_60,"('1', '-1', '1', '1')",0.273,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x22_2_800_46_40,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,34x22_2_800_46_40.dat,swri_34x22_2_800_46_40,"('1', '-1', '1', '1')",0.279,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x15_5_1000_41_60,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,381.0,34x15_5_1000_41_60.dat,swri_34x15_5_1000_41_60,"('1', '-1', '1', '1')",0.52,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x16_3_1200_51_80,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,406.4,34x16_3_1200_51_80.dat,swri_34x16_3_1200_51_80,"('1', '-1', '1', '1')",0.349,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x19_3_1000_51_60,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,482.6,34x19_3_1000_51_60.dat,swri_34x19_3_1000_51_60,"('1', '-1', '1', '1')",0.364,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x22_5_800_46_40,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,34x22_5_800_46_40.dat,swri_34x22_5_800_46_40,"('1', '-1', '1', '1')",0.517,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x6_5_3200_51_330,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,152.4,34x6_5_3200_51_330.dat,swri_34x6_5_3200_51_330,"('1', '-1', '1', '1')",0.472,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x8_6_2400_51_260,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,203.2,34x8_6_2400_51_260.dat,swri_34x8_6_2400_51_260,"('1', '-1', '1', '1')",0.571,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x22_3_800_46_40,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,34x22_3_800_46_40.dat,swri_34x22_3_800_46_40,"('1', '-1', '1', '1')",0.359,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_34x9_5_2200_51_220,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,228.6,34x9_5_2200_51_220.dat,swri_34x9_5_2200_51_220,"('1', '-1', '1', '1')",0.489,64.77,863.5999999999999,"('1', '-1', '1', '1')"
swri_41x10_3_2000_51_330,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,254.0,41x10_3_2000_51_330.dat,swri_41x10_3_2000_51_330,"('1', '-1', '1', '1')",0.483,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x16_5_1200_51_180,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,406.4,41x16_5_1200_51_180.dat,swri_41x16_5_1200_51_180,"('1', '-1', '1', '1')",0.774,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x12_4_1600_51_270,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,304.8,41x12_4_1600_51_270.dat,swri_41x12_4_1600_51_270,"('1', '-1', '1', '1')",0.627,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x13_3_1200_41_150,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,41x13_3_1200_41_150.dat,swri_41x13_3_1200_41_150,"('1', '-1', '1', '1')",0.508,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x15_6_1000_41_130,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,381.0,41x15_6_1000_41_130.dat,swri_41x15_6_1000_41_130,"('1', '-1', '1', '1')",0.91,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x22_2_800_46_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,41x22_2_800_46_70.dat,swri_41x22_2_800_46_70,"('1', '-1', '1', '1')",0.392,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x26_6_600_41_50,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,660.4,41x26_6_600_41_50.dat,swri_41x26_6_600_41_50,"('1', '-1', '1', '1')",0.922,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x19_2_1000_51_120,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,482.6,41x19_2_1000_51_120.dat,swri_41x19_2_1000_51_120,"('1', '-1', '1', '1')",0.393,78.105,1041.4,"('1', '-1', '1', '1')"
swri_41x22_3_800_46_80,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,41x22_3_800_46_80.dat,swri_41x22_3_800_46_80,"('1', '-1', '1', '1')",0.54,78.105,1041.4,"('1', '-1', '1', '1')"
swri_48x10_2_2000_51_510,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,254.0,48x10_2_2000_51_510.dat,swri_48x10_2_2000_51_510,"('1', '-1', '1', '1')",0.491,91.44,1219.2,"('1', '-1', '1', '1')"
swri_41x15_5_1000_41_120,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,381.0,41x15_5_1000_41_120.dat,swri_41x15_5_1000_41_120,"('1', '-1', '1', '1')",0.771,78.105,1041.4,"('1', '-1', '1', '1')"
swri_48x11_5_1800_51_540,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,279.4,48x11_5_1800_51_540.dat,swri_48x11_5_1800_51_540,"('1', '-1', '1', '1')",1.098,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x12_6_1600_51_490,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,304.8,48x12_6_1600_51_490.dat,swri_48x12_6_1600_51_490,"('1', '-1', '1', '1')",1.305,91.44,1219.2,"('1', '-1', '1', '1')"
swri_41x6_3_3400_51_530,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,152.4,41x6_3_3400_51_530.dat,swri_41x6_3_3400_51_530,"('1', '-1', '1', '1')",0.45,78.105,1041.4,"('1', '-1', '1', '1')"
swri_48x15_3_1000_41_200,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,381.0,48x15_3_1000_41_200.dat,swri_48x15_3_1000_41_200,"('1', '-1', '1', '1')",0.729,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x19_5_1000_51_240,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,482.6,48x19_5_1000_51_240.dat,swri_48x19_5_1000_51_240,"('1', '-1', '1', '1')",1.129,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x12_3_1600_51_430,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,304.8,48x12_3_1600_51_430.dat,swri_48x12_3_1600_51_430,"('1', '-1', '1', '1')",0.705,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x19_4_1000_51_230,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,482.6,48x19_4_1000_51_230.dat,swri_48x19_4_1000_51_230,"('1', '-1', '1', '1')",0.928,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x14_5_1400_51_400,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,355.6,48x14_5_1400_51_400.dat,swri_48x14_5_1400_51_400,"('1', '-1', '1', '1')",1.112,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x17_4_1000_46_220,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,431.8,48x17_4_1000_46_220.dat,swri_48x17_4_1000_46_220,"('1', '-1', '1', '1')",0.929,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x13_6_1200_41_290,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,48x13_6_1200_41_290.dat,swri_48x13_6_1200_41_290,"('1', '-1', '1', '1')",1.309,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x29_4_600_46_90,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,736.5999999999999,48x29_4_600_46_90.dat,swri_48x29_4_600_46_90,"('1', '-1', '1', '1')",0.955,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x8_4_2400_51_680,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,203.2,48x8_4_2400_51_680.dat,swri_48x8_4_2400_51_680,"('1', '-1', '1', '1')",0.877,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x8_2_2400_51_600,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,203.2,48x8_2_2400_51_600.dat,swri_48x8_2_2400_51_600,"('1', '-1', '1', '1')",0.478,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x32_4_600_51_90,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,812.8,48x32_4_600_51_90.dat,swri_48x32_4_600_51_90,"('1', '-1', '1', '1')",0.942,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x6_2_3400_51_760,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,152.4,48x6_2_3400_51_760.dat,swri_48x6_2_3400_51_760,"('1', '-1', '1', '1')",0.452,91.44,1219.2,"('1', '-1', '1', '1')"
swri_48x8_5_2400_51_700,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,203.2,48x8_5_2400_51_700.dat,swri_48x8_5_2400_51_700,"('1', '-1', '1', '1')",1.075,91.44,1219.2,"('1', '-1', '1', '1')"
swri_55x12_5_1600_51_740,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,304.8,55x12_5_1600_51_740.dat,swri_55x12_5_1600_51_740,"('1', '-1', '1', '1')",1.549,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x11_4_1800_51_790,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,279.4,55x11_4_1800_51_790.dat,swri_55x11_4_1800_51_790,"('1', '-1', '1', '1')",1.251,104.775,1397.0,"('1', '-1', '1', '1')"
swri_48x29_3_600_46_90,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,736.5999999999999,48x29_3_600_46_90.dat,swri_48x29_3_600_46_90,"('1', '-1', '1', '1')",0.761,91.44,1219.2,"('1', '-1', '1', '1')"
swri_55x11_3_1800_51_750,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,279.4,55x11_3_1800_51_750.dat,swri_55x11_3_1800_51_750,"('1', '-1', '1', '1')",0.964,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x10_4_2000_51_870,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,254.0,55x10_4_2000_51_870.dat,swri_55x10_4_2000_51_870,"('1', '-1', '1', '1')",1.241,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x15_4_1000_41_330,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,381.0,55x15_4_1000_41_330.dat,swri_55x15_4_1000_41_330,"('1', '-1', '1', '1')",1.273,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x22_4_800_46_260,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,55x22_4_800_46_260.dat,swri_55x22_4_800_46_260,"('1', '-1', '1', '1')",1.3,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x22_6_800_46_280,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,558.8,55x22_6_800_46_280.dat,swri_55x22_6_800_46_280,"('1', '-1', '1', '1')",1.876,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x17_6_1000_46_390,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,431.8,55x17_6_1000_46_390.dat,swri_55x17_6_1000_46_390,"('1', '-1', '1', '1')",1.874,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x17_3_1000_46_340,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,431.8,55x17_3_1000_46_340.dat,swri_55x17_3_1000_46_340,"('1', '-1', '1', '1')",1.008,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x19_6_1000_51_420,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,482.6,55x19_6_1000_51_420.dat,swri_55x19_6_1000_51_420,"('1', '-1', '1', '1')",1.879,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x20_5_400_21_60,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,508.0,55x20_5_400_21_60.dat,swri_55x20_5_400_21_60,"('1', '-1', '1', '1')",1.575,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x34_4_400_36_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,863.5999999999999,55x34_4_400_36_70.dat,swri_55x34_4_400_36_70,"('1', '-1', '1', '1')",1.325,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x26_3_600_41_150,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,660.4,55x26_3_600_41_150.dat,swri_55x26_3_600_41_150,"('1', '-1', '1', '1')",1.039,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x8_4_2400_51_990,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,203.2,55x8_4_2400_51_990.dat,swri_55x8_4_2400_51_990,"('1', '-1', '1', '1')",1.222,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x7_2_2800_51_970,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,177.8,55x7_2_2800_51_970.dat,swri_55x7_2_2800_51_970,"('1', '-1', '1', '1')",0.638,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x43_3_400_46_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,1092.2,55x43_3_400_46_70.dat,swri_55x43_3_400_46_70,"('1', '-1', '1', '1')",1.078,104.775,1397.0,"('1', '-1', '1', '1')"
swri_55x39_4_400_41_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,990.5999999999999,55x39_4_400_41_70.dat,swri_55x39_4_400_41_70,"('1', '-1', '1', '1')",1.376,104.775,1397.0,"('1', '-1', '1', '1')"
swri_62x14_4_1400_51_890,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,355.6,62x14_4_1400_51_890.dat,swri_62x14_4_1400_51_890,"('1', '-1', '1', '1')",1.712,118.11,1574.8,"('1', '-1', '1', '1')"
swri_55x39_3_400_41_70,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,990.5999999999999,55x39_3_400_41_70.dat,swri_55x39_3_400_41_70,"('1', '-1', '1', '1')",1.1,104.775,1397.0,"('1', '-1', '1', '1')"
swri_62x19_4_1000_51_580,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,482.6,62x19_4_1000_51_580.dat,swri_62x19_4_1000_51_580,"('1', '-1', '1', '1')",1.73,118.11,1574.8,"('1', '-1', '1', '1')"
swri_62x12_4_1600_51_1010,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,304.8,62x12_4_1600_51_1010.dat,swri_62x12_4_1600_51_1010,"('1', '-1', '1', '1')",1.698,118.11,1574.8,"('1', '-1', '1', '1')"
swri_62x20_3_400_21_80,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,508.0,62x20_3_400_21_80.dat,swri_62x20_3_400_21_80,"('1', '-1', '1', '1')",1.334,118.11,1574.8,"('1', '-1', '1', '1')"
swri_62x13_4_1200_41_600,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,62x13_4_1200_41_600.dat,swri_62x13_4_1200_41_600,"('1', '-1', '1', '1')",1.703,118.11,1574.8,"('1', '-1', '1', '1')"
swri_62x13_6_1200_41_650,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,330.2,62x13_6_1200_41_650.dat,swri_62x13_6_1200_41_650,"('1', '-1', '1', '1')",2.492,118.11,1574.8,"('1', '-1', '1', '1')"
swri_62x14_3_1400_51_840,Propeller,['MOTOR_CONNECTOR_CS_IN'],47.0,UAM,355.6,62x14_3_1400_51_840.dat,swri_62x14_3_1400_51_840,"('1', '-1', '1', '1')",1.316,118.11,1574.8,"('1', '-1', '1', '1')"
apc_propellers_10x10,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,254.0,PER3_10x10.dat,apc_propellers_10x10,"('1', '-1', '1', '1')",0.036015045999999995,14.224,254.0,"('1', '-1', '1', '1')"
