2004, 'SOUTHERN OREGON COASTAL'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'SXT', 'SEXTON SUMMIT', '   0.30', '   3.84', '  11.35', '   3.47', '   5.11', '   2.48', '   1.43', '   2.43', '   0.00', '   0.00', '   0.39', '   1.08', ' 31.88', '  96'
2004, 'TKFO3', 'TOKETEE FALLS', '   1.50', '   5.76', '  10.35', '   7.79', '   5.08', '   2.68', '   3.80', '   5.21', '   1.26', '   0.02', '   1.80', '   1.36', ' 46.61', '  95'
2004, 'WINO3', 'WINCHESTER DAM', '   0.67', '   5.38', '  10.19', '   6.59', '   4.11', '   2.32', '   1.86', '   2.26', '   1.34', '   0.13', '   0.89', '   1.65', ' 37.39', ' 105'
2004, 'WLMO3', 'WILLIAMS', '   0.17', '   2.22', '   8.28', '   4.71', '   5.13', '   2.10', '   1.61', '   0.86', '   0.37', '   0.00', '   0.20', '   0.18', ' 25.83', '  79'
2004, 'OREGON CLOSED BASINS'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'DNON2', 'DENIO', '   0.00', '   1.16', '   1.57', 'M', '   0.86', '   0.74', '   0.25', '   1.56', '   0.12', '   0.13', '   0.45', '   0.22', 'M'
2004, 'HMRO3', 'HART MOUNTAIN REF', '   0.54', '   0.70', '   0.86', '   0.57', '   0.92', '   0.36', '   0.97', '   2.16', '   0.80', '   0.15', '   1.32', '   1.10', ' 10.45', '  82'
2004, 'PASO3', 'PAISLEY', '   0.30', '   0.39', '   0.74', '   0.72', '   1.85', '   0.35', '   0.46', '   1.92', '   0.98', '   0.24', '   0.52', '   0.68', '  9.15', '  85'
2004, 'SMMO3', 'SUMMER LAKE', '   0.30', '   0.69', '   1.33', '   1.32', '   1.83', '   0.43', '   0.94', '   2.03', '   0.38', '   0.13', '   1.01', '   0.15', ' 10.54', '  83'
2004, 'SVLO3', 'SILVER LAKE', '   0.12', '   0.39', '   1.41', '   1.14', '   1.80', '   0.34', '   0.74', '   1.42', '   0.33', '   0.22', '   1.02', '   0.02', '  8.95', '  91'
2004, 'NORTHERN CALIFORNIA COASTAL'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'CEC', 'CRESCENT CITY ASOS', '   0.84', '   7.88', 'M', '   8.72', '  11.20', '   4.21', 'M', '   1.23', '   0.25', '   0.11', '   1.08', '   0.96', 'M'
2004, 'CECC1', 'CRESCENT CITY 3NNW', '   0.99', '   9.33', '  21.30', '  11.86', '  12.40', '   4.95', '   4.95', '   1.21', '   0.34', '   0.19', '   1.31', '   1.05', ' 69.88', ' 105'
2004, 'CVLC1', 'COVELO', '   0.00', '   6.24', '  13.42', '   6.30', '  10.57', '   1.88', '   0.97', '   0.23', '   0.02', '   0.00', '   0.00', '   0.03', ' 39.66', '  94'
2004, 'EKA', 'EUREKA', '   0.55', '   5.78', '  11.35', '   6.29', '   8.12', '   2.38', '   1.68', '   1.37', '   0.06', '   0.06', '   0.43', '   0.68', ' 38.75', ' 102'
2004, 'FORC1', 'FORT ROSS', '   0.00', 'M', '  12.44', '   4.24', '   9.30', '   2.33', '   1.38', '   0.17', '   0.00', '   0.00', '   0.00', '   0.00', 'M'
2004, 'FRBC1', 'FT BRAGG 5N', '   0.00', '   4.64', '  12.02', '   7.08', '   9.86', '   1.86', '   1.58', '   0.23', '   0.05', '   0.08', '   0.15', 'M', 'M'
2004, 'GASC1', 'GASQUET RS', '   0.94', '   9.15', '  26.15', '  13.47', '  15.73', '   6.45', '   8.95', '   1.66', '   0.28', '   0.05', '   1.30', '   1.21', ' 85.34', '  93'
2004, 'GCSC1', 'GRIZZLY CREEK SP', '   0.18', '   6.46', '  16.03', '   8.18', '  14.76', '   2.40', '   1.99', '   1.73', 'M', 'M', 'M', 'M', 'M'
2004, 'O87', 'SHELTER COVE', '   0.00', '   7.75', '  17.17', '   8.72', '  12.10', '   4.75', '   3.23', '   0.62', '   0.03', '   0.00', 'M', 'M', 'M'
2004, 'OPCC1', 'PRAIRIE CREEK SP', '   0.82', 'M', '  18.46', '  10.10', '  10.84', '   3.51', '   4.59', '   1.10', '   0.30', '   0.14', 'M', '   0.64', 'M'
2004, 'RIHC1', 'RICHARDSON GROVE SP', '   0.00', '   7.07', '  22.17', '  11.23', '  16.83', '   2.99', '   2.40', '   0.25', '   0.00', '   0.00', '   0.00', '   0.00', ' 62.94', '  92'
2004, 'SCOC1', 'SCOTIA', '   0.20', '   4.98', '  12.30', '   8.02', '  14.41', '   2.72', '   1.33', '   1.45', '   0.06', '   0.00', 'M', 'M', 'M'
2004, 'STNC1', 'STANDISH HICKEY SP', '   0.19', 'M', '  20.61', '  10.30', '  18.27', '   3.67', '   3.21', 'M', 'M', 'M', '   0.00', '   0.45', 'M'
2004, 'WTSC1', 'WILLITS 1NE', 'M', '   6.20', '  18.81', '   4.52', '  12.26', '   2.29', 'M', '   0.45', 'M', '   0.00', 'M', '   0.31', 'M'
2004, 'UPPER KLAMATH'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'BLIO3', 'BLY 4SE', '   0.06', '   1.11', '   2.55', '   1.11', '   2.58', '   0.21', '   1.10', '   1.79', '   0.92', '   0.16', '   0.39', '   0.00', ' 11.98', 'NA'
2004, 'CHEO3', 'CHEMULT', '   0.27', '   2.45', '   7.98', '   5.01', '   5.45', '   1.54', '   1.15', '   1.18', '   1.06', '   0.25', '   1.61', '   0.14', ' 28.09', ' 109'
2004, 'CHQO3', 'CHILOQUIN 7NW', '   0.05', '   2.59', '   4.86', '   4.08', '   3.34', '   0.94', '   0.30', '   1.92', '   0.61', '   0.30', '   0.48', '   0.08', ' 19.55', '  98'
2004, 'CRLO3', 'CRATER LAKE NP', '   0.95', '   8.85', '  11.89', '  12.42', '   9.03', '   4.28', '   3.86', '   3.13', '   0.27', '   0.27', '   4.93', '   1.99', ' 61.87', '  93'
2004, 'GBZO3', 'GERBER', '   0.00', '   0.75', '   2.80', '   1.16', '   2.25', '   0.40', '   1.10', '   1.10', '   0.30', '   0.00', '   0.36', '   0.21', ' 10.43', '  57'
2004, 'HOWO3', 'HOWARD PRAIRIE', '   0.24', '   4.28', '   7.28', '   6.13', '   7.16', '   1.72', '   1.44', '   3.26', '   0.85', '   0.04', '   0.48', '   0.41', ' 33.29', ' 102'
2004, 'KENO3', 'KENO', '   0.08', '   1.91', '   4.37', '   2.59', '   3.26', '   0.72', '   1.10', '   1.14', '   0.68', '   0.47', '   0.34', '   0.05', ' 16.71', '  83'
2004, 'LMT', 'KLAMATH FALLS', '   0.00', '   1.89', '   1.81', '   1.34', '   2.25', '   0.50', '   0.61', '   0.90', '   0.99', '   0.11', '   0.19', '   0.01', ' 10.60', '  76'
2004, 'LOWER KLAMATH'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'BBAC1', 'BIG BAR 4E', '   0.00', '   4.57', '  10.31', '   5.53', '   8.87', '   1.24', '   1.34', '   0.91', '   0.30', '   0.06', '   0.00', '   0.02', ' 33.15', '  87'
2004, 'CHNC1', 'CALLAHAN', '   0.00', '   2.65', '   3.93', '   1.78', '   5.06', '   1.41', '   0.91', '   1.16', '   0.31', '   0.19', '   0.11', '   0.03', ' 17.54', '  83'
2004, 'COPC1', 'COPCO #1 DAM', '   0.00', '   2.31', '   3.59', '   2.72', '   3.75', '   1.67', '   1.03', '   1.56', '   0.07', '   0.78', '   0.26', '   0.05', ' 17.79', '  86'
2004, 'FOJC1', 'FORT JONES', '   0.00', '   0.84', '   5.24', '   1.79', '   4.44', '   1.44', '   0.59', '   0.58', '   0.16', '   1.29', '   0.44', '   0.00', ' 16.81', '  77'
2004, 'HFKC1', 'HAYFORK 2W', '   0.03', '   7.65', '   6.91', '   6.80', '  12.03', '   1.86', '   1.12', '   0.85', '   0.04', '   0.04', '   0.00', '   0.03', ' 37.36', ' 105'
2004, 'HPAC1', 'HOOPA', '   0.50', '   5.00', '  18.30', '   8.05', '  13.30', '   2.80', '   2.60', '   0.80', '   0.00', '   0.00', '   0.00', '   0.40', ' 51.75', 'NA'
2004, 'HPYC1', 'HAPPY CAMP', '   0.33', '   3.97', '  20.27', '   6.46', '  11.87', '   3.72', '   2.23', '   0.99', '   0.25', '   0.00', '   0.65', '   0.19', ' 50.93', '  99'
2004, 'HYAC1', 'HYAMPOM', '   0.00', 'M', 'M', '   4.31', '  11.28', '   3.00', '   0.95', '   0.89', 'M', '   0.10', 'M', 'M', 'M'
2004, 'KLAC1', 'KLAMATH', '   1.37', '   9.80', '  26.26', 'M', '  15.44', '   4.58', '   6.13', '   1.56', 'M', '   0.17', 'M', '   1.64', 'M'
2004, 'MTHC1', 'MT. HEBRON RS', '   0.14', '   1.07', '   2.26', '   1.09', '   2.44', '   0.57', '   0.28', '   1.74', '   0.58', '   1.06', '   0.46', '   0.05', ' 11.74', '  93'
2004, 'ORLC1', 'ORLEANS', '   0.18', '   6.24', '  14.58', '   9.99', '  11.39', '   3.71', '   1.97', '   1.13', '   0.12', '   0.00', '   0.28', '   0.55', ' 50.14', '  95'
2004, 'STGC1', 'LAVA BEDS NM', '   0.02', '   1.32', '   1.13', '   0.69', '   4.62', '   0.21', '   0.30', '   2.20', '   0.36', '   0.21', '   0.65', '   0.15', ' 11.86', '  79'
2004, 'TRHC1', 'TRINITY RIVER HATCHERY', '   0.00', '   5.39', '  10.05', '   4.28', '   7.30', '   1.94', '   1.39', '   0.41', '   0.00', '   0.00', '   0.08', '   0.00', ' 30.84', '  94'
2004, 'TULC1', 'TULE LAKE', '   0.00', '   1.60', '   1.05', '   1.21', '   2.05', '   0.41', '   0.41', '   1.00', '   0.08', '   0.11', '   0.20', '   0.00', '  8.12', '  72'
2004, 'WEAC1', 'WEAVERVILLE', '   0.00', '   6.08', '  11.15', '   7.69', '  10.96', '   2.28', '   1.74', '   0.72', '   0.00', '   0.00', '   0.03', '   0.00', ' 40.65', ' 106'
2004, 'WLLC1', 'WILLOW CREEK 1NW', '   0.05', '   6.57', '  17.53', '   9.34', '  12.15', '   3.26', '   2.00', '   0.87', 'M', '   0.00', 'M', 'M', 'M'
2004, 'YKAC1', 'YREKA', '   0.02', '   1.81', '   4.10', '   2.12', '   3.22', '   1.11', '   0.89', '   1.02', '   0.23', '   0.56', '   0.05', '   0.01', ' 15.14', '  77'
2004, 'RUSSIAN...NAPA...SAN FRANCISCO BAY'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, 'ANGC1', 'ANGWIN PACIFIC UNION COLL', '   0.09', '   6.02', '  15.56', '   4.17', '  11.35', '   2.11', '   1.20', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 40.50', ' 100'
2004, 'CLTC1', 'CALISTOGA', '   0.00', '   3.60', '  17.13', '   4.08', '  10.93', '   1.90', '   0.97', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 38.61', ' 100'
2004, 'FFDC1', 'FAIRFIELD', '   0.00', '   1.08', '   7.39', '   2.84', '   7.68', '   0.91', '   0.16', '   0.05', '   0.00', '   0.00', '   0.00', '   0.66', ' 20.77', '  89'
2004, 'GRNC1', 'GRATON', '   0.00', '   3.50', '  15.60', '   6.30', '  11.28', '   1.66', '   1.08', '   0.01', '   0.00', '   0.02', '   0.02', '   0.08', ' 39.55', '  97'
2004, 'HLDC1', 'HEALDSBURG FIRE DEPT', '   0.00', '   4.06', '  18.81', '   5.75', '  12.82', '   1.79', '   1.55', '   0.08', '   0.00', '   0.00', '   0.00', '   0.00', ' 44.86', ' 106'
2004, 'KENC1', 'KENTFIELD', '   0.00', '   3.02', '  16.49', '   6.41', '  11.21', '   2.06', '   1.69', '   0.10', '   0.00', '   0.00', '   0.00', '   0.17', ' 41.15', '  86'
2004, 'MHMC1', 'MOUNT HAMILTON', '   0.07', '   3.71', '   6.92', '   2.56', '   6.80', '   0.88', '   0.52', '   0.13', '   0.00', '   0.00', '   0.00', '   0.42', ' 22.01', '  93'
2004, 'NSHC1', 'NAPA STATE HOSPITAL', '   0.25', '   3.11', '   7.70', '   3.60', '   6.53', '   0.94', '   0.34', '   0.10', '   0.00', '   0.00', '   0.00', '   0.14', ' 22.71', '  86'
2004, 'OAMC1', 'OAKLAND MUSEUM', '   0.00', '   1.42', '   7.48', '   2.14', '   6.06', '   0.23', 'M', '   0.00', 'M', 'M', '   0.00', '   0.59', 'M'
2004, 'PORC1', 'POTTER VALLEY PH', '   0.00', '   6.53', '  17.16', '   6.07', '  13.36', '   2.07', '   1.97', '   0.13', 'M', '   0.00', '   0.00', '   0.13', 'M'
2004, 'SFO', 'SAN FRANCISCO AIRPORT', '   0.00', '   2.17', '   7.69', '   3.40', '   5.67', '   1.16', '   0.10', '   0.12', '   0.00', '   0.00', '   0.05', '   0.04', ' 20.40', ' 101'
2004, 'SFOC1', 'DOWNTOWN SAN FRANCISCO', '   0.04', '   2.22', '   7.69', '   3.40', '   5.67', '   1.16', '   0.12', '   0.12', '   0.00', '   0.00', '   0.05', '   0.04', ' 20.51', '  92'
2004, 'STSC1', 'SANTA ROSA', '   0.04', '   3.19', '  11.42', '   3.44', '   9.21', '   1.13', '   0.68', '   0.03', '   0.00', '   0.02', '   0.00', '   0.11', ' 29.27', '  94'
2004, 'UKHC1', 'UKIAH FIRE DEPT', '   0.03', '   4.24', '  18.51', '   2.01', '  13.03', '   1.46', 'M', '   0.28', '   0.03', '   0.00', '   0.00', 'M', 'M'
2004, 'UKI', 'UKIAH ASOS', '   0.10', '   3.93', '  12.36', '   3.95', '  11.20', '   1.03', '   0.58', '   0.06', '   0.02', '   0.00', '   0.00', '   0.13', ' 33.36', 'NA'
2004, 'SACRAMENTO...YUBA...FEATHER...AMERICAN'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, '4LW', 'LAKEVIEW', '   0.01', '   2.16', '   4.21', '   1.73', '   1.70', '   0.80', '   0.48', '   1.29', '   0.43', '   0.03', '   0.33', '   0.09', ' 13.26', '  86'
2004, 'ADNC1', 'ADIN', '   0.00', '   1.19', '   4.38', '   1.12', '   2.76', '   0.50', '   0.51', '   2.36', '   0.66', '   0.00', '   0.11', '   0.09', ' 13.68', '  86'
2004, 'ALTC1', 'ALTURAS', '   0.00', '   2.11', '   3.66', '   0.96', '   1.58', '   0.78', '   0.90', 'M', 'M', 'M', 'M', 'M', 'M'
2004, 'AUBC1', 'AUBURN', '   0.00', '   3.16', '   7.72', '   3.53', '   7.24', '   1.17', '   0.87', '   0.13', '   0.00', '   0.00', '   0.00', 'M', 'M'
2004, 'BLU', 'BLUE CANYON', '   0.40', '   4.51', '  16.64', '   3.87', '  11.32', '   1.44', '   2.18', '   1.27', 'M', '   0.00', 'M', 'M', 'M'
2004, 'BNYC1', 'BURNEY', '   0.00', '   3.16', '   8.80', '   3.86', '   9.56', '   1.50', '   1.17', '   3.52', '   0.13', '   0.00', '   0.00', '   0.28', ' 31.98', ' 119'
2004, 'BODC1', 'BOWMAN DAM', '   0.00', '   4.96', '  19.08', '   5.06', '  15.17', '   1.34', '   3.18', '   1.91', '   0.11', '   0.06', '   0.00', '   0.12', ' 50.99', '  74'
2004, 'BRRC1', 'BRUSH CREEK RS', '   0.46', '   6.45', '  26.89', '   6.47', '  18.99', '   2.48', '   0.43', '   0.49', '   0.00', 'M', 'M', 'M', 'M'
2004, 'BUCC1', 'BUCKS CREEK', '   0.04', '   4.25', '  16.31', '   4.87', '  15.73', '   1.93', '   1.14', '   1.89', '   0.32', '   0.00', '   0.07', '   0.12', ' 46.67', '  67'
2004, 'BUKC1', 'BUCKHORN', '   0.00', '   7.49', '  22.23', '   7.53', '  15.50', '   3.70', '   4.68', '   3.86', '   0.10', '   0.00', '   0.00', '   0.52', ' 65.61', '  99'
2004, 'CANC1', 'CANYON DAM', '   0.05', '   3.21', '  10.97', '   3.23', '  11.23', '   1.10', '   0.87', '   1.25', '   0.33', '   0.00', '   0.00', '   0.28', ' 32.52', '  86'
2004, 'CBYC1', 'CANBY 3SW', '   0.07', '   1.79', '   4.77', '   1.07', '   4.10', '   0.84', '   1.18', '   1.78', '   0.45', '   0.00', '   0.52', '   0.17', ' 16.74', ' 102'
2004, 'CHAC1', 'CHALLENGE RS', 'M', '   3.70', '   9.90', '   3.87', '   8.05', '   1.17', 'M', '   0.38', '   0.01', 'M', 'M', 'M', 'M'
2004, 'CHEC1', 'CHESTER', '   0.00', '   2.50', '   7.28', '   2.24', '   9.56', '   1.19', '   0.70', '   1.08', '   0.31', '   0.12', '   0.00', 'M', 'M'
2004, 'CHUC1', 'CHICO UNIVERSITY FARM', '   0.04', '   3.35', '   9.15', '   3.68', '   7.25', '   0.94', '   0.18', '   0.31', '   0.00', '   0.00', '   0.00', '   0.00', ' 24.90', '  95'
2004, 'CLGC1', 'COLGATE PH', '   0.35', '   4.06', '  11.19', '   5.17', '   8.29', '   1.82', '   0.64', '   0.69', '   0.00', '   0.00', '   0.00', '   0.45', ' 32.66', '  79'
2004, 'COFC1', 'COLFAX', '   0.37', '   5.21', '  13.69', '   4.45', '  12.69', '   1.05', '   1.00', '   0.54', '   0.00', '   0.00', '   0.00', '   0.33', ' 39.33', '  82'
2004, 'DAVC1', 'DAVIS EXPERIMENTAL FARM', '   0.00', '   1.42', '   5.34', '   2.37', '   6.58', '   0.47', '   0.15', '   0.04', '   0.00', '   0.00', '   0.00', '   0.01', ' 16.38', '  86'
2004, 'DESC1', 'DE SABLA', '   0.24', '   6.44', '  22.33', '   8.00', '  19.53', '   2.44', '   1.97', '   1.20', '   0.12', '   0.00', '   0.00', '   0.18', ' 62.45', '  95'
2004, 'DUNC1', 'DUNSMUIR', '   0.00', '   6.92', '  17.75', '   6.48', '  21.68', '   2.35', '   3.39', '   1.06', '   0.24', '   0.00', '   0.06', '   0.02', ' 59.95', '  97'
2004, 'DWNC1', 'DOWNIEVILLE', '   0.66', '   4.04', '  19.27', '   7.19', '  14.63', '   2.85', '   2.31', '   1.17', '   0.14', '   0.00', '   0.00', '   0.55', ' 52.81', '  84'
2004, 'FOLC1', 'FOLSOM DAM', '   0.00', '   1.43', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2004, 'FSTC1', 'FORESTHILL RS', '   0.00', '   3.95', '  13.36', '   4.54', '   8.75', '   1.90', '   0.92', '   0.48', '   0.00', '   0.00', '   0.00', '   0.57', ' 34.47', '  66'
2004, 'GEOC1', 'GEORGETOWN RS', '   0.04', '   4.61', '  14.11', '   5.15', '  10.91', '   2.05', '   1.06', '   0.29', '   0.00', '   0.00', '   0.00', '   0.05', ' 38.27', '  71'
2004, 'GLRC1', 'GOLD RUN 2SW', '   0.40', '   3.80', '  14.41', '   5.71', '  11.39', '   1.72', '   1.27', '   0.77', '   0.00', '   0.00', '   0.00', '   0.28', ' 39.75', '  72'
2004, 'GRAC1', 'GRASS VALLEY NO. 2', '   0.24', '   4.07', '  15.41', '   6.57', '  10.39', '   1.85', '   1.13', '   0.28', '   0.00', '   0.00', '   0.00', '   0.41', ' 40.35', '  76'
2004, 'GREC1', 'GREENVILLE RS', '   0.00', '   1.42', '  11.25', '   3.92', '  13.17', '   1.20', '   0.89', '   0.95', '   0.13', '   0.38', '   0.00', '   0.52', ' 33.83', '  85'
2004, 'HATC1', 'HAT CREEK', '   0.00', '   2.10', '   4.95', '   1.44', '   5.64', '   0.53', '   0.64', '   2.88', '   0.03', '   0.00', '   0.00', '   0.27', ' 18.48', '  92'
2004, 'HLEC1', 'HARRY L ENGLEBRIGHT DAM', '   0.74', '   3.99', '  10.55', '   3.11', '   8.34', '   1.48', '   0.39', '   0.21', '   0.00', '   0.00', '   0.00', '   0.29', ' 29.10', '  83'
2004, 'HRRC1', 'HARRISON GULCH RS', '   0.15', '  10.49', 'M', '   5.87', '   9.81', '   2.02', '   1.72', '   0.38', '   0.17', '   0.00', '   0.00', 'M', 'M'
2004, 'LSPC1', 'LAKE SPAULDING', '   0.69', '   5.14', '  25.12', '   7.76', '  18.29', '   2.00', '   2.96', '   1.66', '   0.02', '   0.00', '   0.00', '   0.39', ' 64.03', '  86'
2004, 'MCLC1', 'MCCLOUD', '   0.00', '   8.40', '  12.92', '   6.03', '  13.82', '   1.94', '   2.20', '   0.79', '   0.10', '   0.00', '   0.14', '   0.01', ' 46.35', '  94'
2004, 'MHS', 'MT. SHASTA', '   0.05', '   7.24', '  10.65', '   5.44', '  14.58', '   1.80', '   2.08', '   1.52', '   0.09', '   0.02', '   0.40', '   0.00', ' 43.87', ' 110'
2004, 'MINC1', 'MINERAL', '   0.00', '   4.99', '  14.84', '   5.43', '  15.70', '   1.86', '   1.80', '   2.30', '   0.37', '   0.27', '   0.00', '   1.00', ' 48.56', '  86'
2004, 'MNZC1', 'MANZANITA LAKE', '   0.00', '   2.62', '   8.92', '   3.78', '   7.97', '   2.10', '   0.96', 'M', '   0.18', '   0.56', '   0.00', '   1.24', 'M'
2004, 'NCOC1', 'NICOLAUS', '   0.00', '   2.09', '   4.50', '   2.28', '   5.05', '   0.99', '   0.11', '   0.04', '   0.00', '   0.00', '   0.00', '   0.00', ' 15.06', '  76'
2004, 'NVDC1', 'NEVADA CITY', '   0.27', '   5.14', '  19.58', '   7.53', '  14.06', '   2.60', '   1.34', '   1.02', '   0.22', '   0.15', '   0.00', '   0.33', ' 52.24', '  88'
2004, 'ONDC1', 'ORLAND', '   0.19', '   3.61', '   8.12', '   2.76', '   6.74', '   1.40', '   0.21', '   0.05', '   0.00', '   0.00', '   0.00', '   0.00', ' 23.08', ' 106'
2004, 'OROC1', 'OROVILLE', '   0.25', '   3.52', '   9.59', '   4.78', '   6.96', '   1.88', '   0.29', '   0.85', '   0.00', '   0.00', '   0.00', '   0.50', ' 28.62', ' 100'
2004, 'PCHC1', 'PACIFIC HOUSE', '   0.07', '   3.63', '  14.46', '   4.78', '  11.33', '   1.97', '   0.75', '   0.40', '   0.00', '   0.00', '   0.00', '   0.43', ' 37.82', '  73'
2004, 'PLCC1', 'PLACERVILLE', '   0.02', '   3.36', '   8.74', '   3.10', '   8.33', '   1.60', '   0.50', '   0.14', '   0.00', '   0.00', '   0.00', '   0.53', ' 26.32', '  68'
2004, 'PLUC1', 'PLUMAS EUREKA SP', '   1.10', '   3.70', '  19.00', '   3.70', '  14.50', '   1.50', '   2.50', '   1.40', '   0.40', '   0.00', '   0.10', '   0.50', ' 48.40', '  75'
2004, 'PRAC1', 'PORTOLA', '   0.00', '   1.34', '   7.02', '   2.89', '   5.32', '   0.56', '   0.05', '   0.48', '   0.25', '   0.00', '   0.00', '   0.22', ' 18.13', '  78'
2004, 'PRDC1', 'PARADISE', '   0.09', '   6.01', '  19.31', '   6.69', '  15.28', '   2.45', '   1.00', '   0.53', '   0.00', '   0.00', '   0.00', '   0.07', ' 51.43', '  92'
2004, 'PRPC1', 'PIT RIVER PH5', '   0.00', '   9.34', '  24.26', '   9.09', '  24.03', '   3.27', '   6.25', '   3.12', '   0.16', '   0.00', '   0.00', '   0.07', ' 79.59', ' 105'
2004, 'PTRC1', 'PIT RIVER PH1', '   0.00', '   2.32', '   4.99', '   2.75', '   5.27', '   0.46', '   0.54', '   3.56', '   0.29', '   0.00', '   0.00', '   0.17', ' 20.35', ' 108'
2004, 'QCYC1', 'QUINCY', '   0.11', '   3.67', '  12.37', '   4.85', '  13.74', '   1.43', '   0.82', '   1.91', '   0.44', '   0.01', '   0.00', '   0.33', ' 39.68', ' 104'
2004, 'RBL', 'RED BLUFF AP', '   0.03', '   3.32', '   8.37', '   2.69', '   7.61', '   1.47', '   0.23', '   0.97', '   0.00', '   0.00', '   0.00', '   0.10', ' 24.79', ' 103'
