FROM_COMP,FROM_CONN,TO_COMP,TO_CONN
front_right_wing,Wing_Tube_Connector,front_wing_tube_r,EndConnection
rear_flange_l,BottomConnector,top_leg_l,BaseConnection
rear_flange_l,TopConnector,rear_motor_l,Base_Connector
rear_flange_l,SideConnector,vertical_l,EndConnection
BatteryController,MotorPower,front_motor_r,MotorPower
BatteryController,MotorPower,front_motor_l,MotorPower
BatteryController,MotorPower,rear_motor_r,MotorPower
BatteryController,MotorPower,rear_motor_l,MotorPower
BatteryController,BatteryPower,Main_Battery,PowerBus
mid_tube_r,EndConnection,side_hub_r,Side_Connector_2
mid_tube_r,BaseConnection,main_hub,Side_Connector_1
front_motor_l,MotorPower,BatteryController,MotorPower
front_motor_l,Prop_Connector,front_prop_l,MOTOR_CONNECTOR_CS_IN
front_motor_l,Base_Connector,front_flange_l,TopConnector
rear_prop_l,MOTOR_CONNECTOR_CS_IN,rear_motor_l,Prop_Connector
vertical_r,OffsetConnection1,rear_right_wing,Wing_Tube_Connector
vertical_r,EndConnection,rear_flange_r,SideConnector
vertical_r,BaseConnection,rear_hub_r,Side_Connector_2
rear_prop_r,MOTOR_CONNECTOR_CS_IN,rear_motor_r,Prop_Connector
rudder_tube_r,EndConnection,right_rudder,Wing_Tube_Connector
rudder_tube_r,BaseConnection,rear_hub_r,Center_Connector
front_wing_tube_l,BaseConnection,front_flange_l,SideConnector
front_wing_tube_l,EndConnection,front_left_wing,Wing_Tube_Connector
capsule_fuselage,BottomConnector,main_hub,Top_Connector
capsule_fuselage,FloorConnector1,Main_Battery,Bottom_Connector
main_hub,Orient_Connector,Orient,ORIENTCONN
main_hub,Top_Connector,capsule_fuselage,BottomConnector
main_hub,Side_Connector_1,mid_tube_r,BaseConnection
main_hub,Side_Connector_3,mid_tube_l,BaseConnection
mid_tube_l,BaseConnection,main_hub,Side_Connector_3
mid_tube_l,EndConnection,side_hub_l,Side_Connector_2
bottom_leg_l,BaseConnection,rear_hub_l,Side_Connector_3
top_leg_l,BaseConnection,rear_flange_l,BottomConnector
front_motor_r,MotorPower,BatteryController,MotorPower
front_motor_r,Base_Connector,front_flange_r,TopConnector
front_motor_r,Prop_Connector,front_prop_r,MOTOR_CONNECTOR_CS_IN
rear_motor_r,Prop_Connector,rear_prop_r,MOTOR_CONNECTOR_CS_IN
rear_motor_r,MotorPower,BatteryController,MotorPower
rear_motor_r,Base_Connector,rear_flange_r,TopConnector
bottom_leg_r,BaseConnection,rear_hub_r,Side_Connector_1
rear_right_wing,Wing_Tube_Connector,vertical_r,OffsetConnection1
side_hub_r,Side_Connector_1,rear_rail_r,BaseConnection
side_hub_r,Side_Connector_2,mid_tube_r,EndConnection
side_hub_r,Side_Connector_3,front_rail_r,BaseConnection
rear_hub_l,Side_Connector_1,rear_rail_l,EndConnection
rear_hub_l,Side_Connector_3,bottom_leg_l,BaseConnection
rear_hub_l,Side_Connector_2,vertical_l,BaseConnection
rear_hub_l,Center_Connector,rudder_tube_l,BaseConnection
rear_flange_r,SideConnector,vertical_r,EndConnection
rear_flange_r,TopConnector,rear_motor_r,Base_Connector
rear_flange_r,BottomConnector,top_leg_r,BaseConnection
front_rail_r,BaseConnection,side_hub_r,Side_Connector_3
front_rail_r,EndConnection,front_flange_r,BottomConnector
rudder_tube_l,EndConnection,left_rudder,Wing_Tube_Connector
rudder_tube_l,BaseConnection,rear_hub_l,Center_Connector
rear_motor_l,Base_Connector,rear_flange_l,TopConnector
rear_motor_l,Prop_Connector,rear_prop_l,MOTOR_CONNECTOR_CS_IN
rear_motor_l,MotorPower,BatteryController,MotorPower
Main_Battery,PowerBus,BatteryController,BatteryPower
Main_Battery,Bottom_Connector,capsule_fuselage,FloorConnector1
front_left_wing,Wing_Tube_Connector,front_wing_tube_l,EndConnection
