FROM_COMP,FROM_CONN,TO_COMP,TO_CONN
right_rudder,Wing_Tube_Connector,rudder_tube_r,EndConnection
rear_prop_r,MOTOR_CONNECTOR_CS_IN,rear_motor_r,Prop_Connector
front_hubLower_r,Side_Connector_2,front_railLower_r,BaseConnection
front_hubLower_r,Side_Connector_1,front_railDwn_r,EndConnection
rear_motor_r,MotorPower,BatteryController,MotorPower
rear_motor_r,Base_Connector,rear_flange_r,TopConnector
rear_motor_r,Prop_Connector,rear_prop_r,MOTOR_CONNECTOR_CS_IN
front_hub_r,Side_Connector_1,front_rail_r,EndConnection
front_hub_r,Side_Connector_2,front_railDwn_r,BaseConnection
rear_left_wing,Wing_Tube_Connector,vertical_l,OffsetConnection1
mid_tube_l,BaseConnection,main_hub,Side_Connector_3
mid_tube_l,EndConnection,side_hub_l,Side_Connector_2
rear_right_wing,Wing_Tube_Connector,vertical_r,OffsetConnection1
rear_rail_r,BaseConnection,side_hub_r,Side_Connector_1
rear_rail_r,EndConnection,rear_hub_r,Side_Connector_3
mid_tube_r,BaseConnection,main_hub,Side_Connector_1
mid_tube_r,EndConnection,side_hub_r,Side_Connector_2
front_motor_l,Base_Connector,front_flange_l,TopConnector
front_motor_l,MotorPower,BatteryController,MotorPower
front_motor_l,Prop_Connector,front_prop_l,MOTOR_CONNECTOR_CS_IN
rear_flange_r,BottomConnector,top_leg_r,BaseConnection
rear_flange_r,SideConnector,vertical_r,EndConnection
rear_flange_r,TopConnector,rear_motor_r,Base_Connector
front_prop_l,MOTOR_CONNECTOR_CS_IN,front_motor_l,Prop_Connector
front_flange_l,SideConnector,front_wing_tube_l,BaseConnection
front_flange_l,BottomConnector,front_railLower_l,EndConnection
front_flange_l,TopConnector,front_motor_l,Base_Connector
GPS,SensorConnector,capsule_fuselage,FloorConnector7
front_railDwn_l,EndConnection,front_hubLower_l,Side_Connector_1
front_railDwn_l,BaseConnection,front_hub_l,Side_Connector_2
Battery_2,PowerBus,BatteryController,BatteryPower
Battery_2,Bottom_Connector,capsule_fuselage,FloorConnector1
Variometer,SensorConnector,capsule_fuselage,FloorConnector8
Battery_1,PowerBus,BatteryController,BatteryPower
Battery_1,Bottom_Connector,capsule_fuselage,FloorConnector2
front_rail_r,EndConnection,front_hub_r,Side_Connector_1
front_rail_r,BaseConnection,side_hub_r,Side_Connector_3
left_rudder,Wing_Tube_Connector,rudder_tube_l,EndConnection
rear_hub_l,Side_Connector_3,bottom_leg_l,BaseConnection
rear_hub_l,Side_Connector_1,rear_rail_l,EndConnection
rear_hub_l,Center_Connector,rudder_tube_l,BaseConnection
rear_hub_l,Side_Connector_2,vertical_l,BaseConnection
front_railLower_r,EndConnection,front_flange_r,BottomConnector
front_railLower_r,BaseConnection,front_hubLower_r,Side_Connector_2
Orient,ORIENTCONN,main_hub,Orient_Connector
top_leg_l,BaseConnection,rear_flange_l,BottomConnector
bottom_leg_r,BaseConnection,rear_hub_r,Side_Connector_1
front_wing_tube_r,BaseConnection,front_flange_r,SideConnector
front_wing_tube_r,EndConnection,front_right_wing,Wing_Tube_Connector
front_hubLower_l,Side_Connector_2,front_railLower_l,BaseConnection
front_hubLower_l,Side_Connector_1,front_railDwn_l,EndConnection
Current,SensorConnector,capsule_fuselage,FloorConnector4
front_railLower_l,BaseConnection,front_hubLower_l,Side_Connector_2
front_railLower_l,EndConnection,front_flange_l,BottomConnector
front_motor_r,Prop_Connector,front_prop_r,MOTOR_CONNECTOR_CS_IN
front_motor_r,Base_Connector,front_flange_r,TopConnector
front_motor_r,MotorPower,BatteryController,MotorPower
front_prop_r,MOTOR_CONNECTOR_CS_IN,front_motor_r,Prop_Connector
BatteryController,MotorPower,rear_motor_r,MotorPower
BatteryController,MotorPower,front_motor_r,MotorPower
BatteryController,MotorPower,front_motor_l,MotorPower
BatteryController,MotorPower,rear_motor_l,MotorPower
BatteryController,BatteryPower,Battery_1,PowerBus
BatteryController,BatteryPower,Battery_2,PowerBus
front_right_wing,Wing_Tube_Connector,front_wing_tube_r,EndConnection
rudder_tube_r,BaseConnection,rear_hub_r,Center_Connector
rudder_tube_r,EndConnection,right_rudder,Wing_Tube_Connector
RpmTemp,SensorConnector,capsule_fuselage,FloorConnector3
