DESIGN_PARAM,DESIGN_PARAM_VAL,COMPONENT_NAME,COMPONENT_PARAM
rudder_chord,100,left_rudder,CHORD_2
Channel_9,9,right_rudder,CONTROL_CHANNEL
Channel_1,1,front_motor_l,CONTROL_CHANNEL
Top_Leg_Tube_Length,150.1524,top_leg_r,Length
Top_Leg_Tube_Length,150.1524,top_leg_l,Length
Vertical_Tube_Length,150,bottom_leg_l,Length
Vertical_Tube_Length,150,vertical_r,Length
Vertical_Tube_Length,150,bottom_leg_r,Length
Vertical_Tube_Length,150,vertical_l,Length
BodyRotAngle,90,front_flange_r,BOTTOM_ANGLE
BodyRotAngle,90,capsule_fuselage,BOTTOM_CONNECTOR_ROTATION
BodyRotAngle,90,rear_rail_r,END_ROT
BodyRotAngle,90,rear_rail_l,END_ROT
BodyRotAngle,90,front_rail_r,END_ROT
BodyRotAngle,90,vertical_l,END_ROT
Offset_6,70,capsule_fuselage,FLOOR_CONNECTOR_1_DISP_WIDTH
NACA_profile,0012,front_right_wing,NACA_Profile
NACA_profile,0012,rear_left_wing,NACA_Profile
NACA_profile,0012,left_rudder,NACA_Profile
NACA_profile,0012,rear_right_wing,NACA_Profile
NACA_profile,0012,right_rudder,NACA_Profile
NACA_profile,0012,front_left_wing,NACA_Profile
Channel_6,6,front_right_wing,CONTROL_CHANNEL
Param_12,90,main_hub,ANGHORZCONN
Param_12,90,rear_hub_r,ANGHORZCONN
Param_12,90,side_hub_r,ANGHORZCONN
Param_12,90,rear_hub_l,ANGHORZCONN
Param_12,90,side_hub_l,ANGHORZCONN
Param_12,90,rear_right_wing,TUBE_ROTATION
rudder_span,140,right_rudder,SPAN
rudder_span,140,left_rudder,SPAN
CargoMass,0.5,Cargo,WEIGHT
Offset_5,-80,capsule_fuselage,FLOOR_CONNECTOR_7_DISP_LENGTH
railDownLen,90,front_railDwn_r,Length
railDownLen,90,front_railDwn_l,Length
Offset_9,-11,capsule_fuselage,FLOOR_CONNECTOR_8_DISP_WIDTH
front_wing_load,30,front_left_wing,LOAD
front_wing_load,30,front_right_wing,LOAD
Param_11,180,front_left_wing,TUBE_ROTATION
Param_11,180,left_rudder,TUBE_ROTATION
Param_11,180,front_right_wing,TUBE_ROTATION
Param_11,180,mid_tube_l,END_ROT
l_rudder_offset,90,Orient,Z_ANGLE
l_rudder_offset,90,left_rudder,TUBE_OFFSET
front_r_wing_offset,160.32,rear_right_wing,TUBE_OFFSET
front_r_wing_offset,160.32,front_right_wing,TUBE_OFFSET
wing_thickness,12,rear_right_wing,THICKNESS
wing_thickness,12,front_right_wing,THICKNESS
wing_thickness,12,left_rudder,THICKNESS
wing_thickness,12,rear_left_wing,THICKNESS
wing_thickness,12,front_left_wing,THICKNESS
wing_thickness,12,right_rudder,THICKNESS
fuse_height,105,capsule_fuselage,VERT_DIAMETER
fuse_floor,20,capsule_fuselage,FLOOR_HEIGHT
rear_wing_chord,180,rear_right_wing,CHORD_2
rear_wing_chord,180,rear_left_wing,CHORD_1
rear_wing_chord,180,rear_left_wing,CHORD_2
rear_wing_chord,180,rear_right_wing,CHORD_1
r_rudder_offset,50,right_rudder,TUBE_OFFSET
rear_wing_offset,90,vertical_r,Offset1
rear_wing_offset,90,vertical_l,Offset1
front_l_wing_offset,289.68,front_left_wing,TUBE_OFFSET
Channel_2,2,front_motor_r,CONTROL_CHANNEL
Front_Rail_Length,135,front_rail_l,Length
Front_Rail_Length,135,front_rail_r,Length
Channel_4,4,rear_motor_r,CONTROL_CHANNEL
Mid_Tube_Length,140,mid_tube_l,Length
Mid_Tube_Length,140,mid_tube_r,Length
Channel_10,10,left_rudder,CONTROL_CHANNEL
angle_270,270,front_rail_l,END_ROT
angle_270,270,front_hubLower_r,ANGHORZCONN
angle_270,270,vertical_r,END_ROT
angle_270,270,front_hubLower_l,ANGHORZCONN
angle_270,270,rear_left_wing,TUBE_ROTATION
FwdFacingCCW_Spin,-1,front_prop_l,Direction
FwdFacingCCW_Spin,-1,rear_prop_l,Direction
Offset_7,-70,capsule_fuselage,FLOOR_CONNECTOR_2_DISP_WIDTH
Rudder_Tube_Length,41,rudder_tube_l,Length
Rudder_Tube_Length,41,rudder_tube_r,Length
Offset_4,-30,capsule_fuselage,FLOOR_CONNECTOR_4_DISP_WIDTH
FwdFacingCCW_PropType,-1,rear_prop_l,Prop_type
FwdFacingCCW_PropType,-1,front_prop_l,Prop_type
front_wing_chord,150,front_left_wing,CHORD_1
front_wing_chord,150,front_right_wing,CHORD_1
front_wing_chord,150,front_left_wing,CHORD_2
front_wing_chord,150,front_right_wing,CHORD_2
